text_1	text_2	class
Двое пропавших в Непале российских альпинистов вышли на связь	Более 40 россиян до сих пор не вышли на связь в Непале	-1
Проститься с Андреем Паниным пришли сотни людей.	В Москве простились с Андреем Паниным.	-1
"МИД РФ хочет объяснений из-за отказа во въезде ""Русским мотоциклистам"""	"МИД РФ: ФРГ должен объяснить отказ во въезде ""Русских мотоциклистов"""	1
"Арестант мог сбежать из ""Матросской тишины"" при помощи ложки."	Заключенный сбежал из «Матросской тишины» через дыру в потолке камеры.	-1
В Петербурге фотограф убил подругу и покончил с собой.	Петербургский фотограф убил подругу и покончил с собой.	1
Три человека погибли из-за мощной волны на побережье Мексики	Мощная волна в Мексике унесла жизни трех человек	1
"Правительство ФРГ рассчитывает на благоразумие ""Ночных волков"""	"Суд в ФРГ отпустил байкера ""Ночных волков"""	-1
Пушков считает, что российским СМИ объявлена политическая война	Пушков: Российским СМИ объявлена политическая война	1
Австралия направляет два самолета с гумпомощью в Непал	Два самолета МЧС РФ вывезли из Непала 128 человек	-1
"США опубликовали ""список Магнитского""."	Как Россия и США воевали списками.	-1
Энергоблок Запорожской АЭС на Украине отключили от сети	Минэнерго Украины: шестой энергоблок Запорожской АЭС скоро заработает	-1
Полиция Непала подтверждает гибель более 3,6 тысячи человек	Полиция Непала подтвердила гибель 3,6 тысяч человек	1
"МВД подтвердило проведение обысков в офисе ""Открытой России"" в Москве"	МВД назвало причиной обыска в «Открытой России» подозрения в экстремизме	-1
"""Правый сектор"" продолжит переговоры о вхождении в Минобороны Украины"	Власти Украины урегулировали конфликт с «Правым сектором»	-1
«Жилищный проект»: более 100 мероприятий за 2 дня.	Какой футбол им не нужен - Против чего бразильцы протестуют и за что болеют.	-1
Официальный курс евро на пятницу упал до 55,13 рубля	Официальный курс доллара упал ниже 51 рубля	-1
Экономист: Италия из-за санкций против России потеряла 5 млрд евро	IKEA инвестирует 2 миллиарда евро в Россию	-1
Иностранные делегации прибывают в Москву в преддверии Дня Победы	Любляна отпразднует День Победы вместе с Москвой	-1
"Для выплат строителям ""Восточного"" перечислено еще 55 млн рублей"	Для строителей космодрома Восточный перечислили 55 миллионов рублей	1
Страхование жилья станет добровольным, выгодным и вынужденным.	В России разработают механизм добровольного страхования жилья.	-1
Путин выразил соболезнования главе Непала в связи с землетрясением	Президент РФ выразил соболезнования в связи с гибелью людей в Непале	1
"Уволена вся редакция сайта журнала ""Большой город""."	Уволена вся редакция сайта «Большого города».	1
Число погибших из-за схода лавины на Эвересте возросло до 10	На Эвересте от схода лавины погибли 65 альпинистов	-1
Минобороны РФ проведет свое Евровидение	Минобороны проведет «Евровидение» с армейской спецификой.	1
"Власти ФРГ аннулировали визу ""Ночного волка"" Юрия Васильева"	«Ночные волки» оспорят в суде ФРГ решение об аннулировании виз	-1
Нобелевскую премию по литературе получила канадка Элис Мунро.	Нобелевскую премию по литературе присудили Элис Мунро.	1
США ускорят процесс ядерного разоружения, заявил Керри	США предложили России продолжить ядерное разоружение	-1
При переходе из одного вуза в другой для студента ничего не изменится.	ЦБ и Минфин сошлись на потолке.	-1
В Эстонии смягчат требования к здоровью призывников.	Америка жмет на газ.	-1
Всемирный банк причислил Россию к богатым странам.	Всемирный банк переоценил Россию.	-1
В Туве найдено тело последнего из 6 подростков, попавших под лавину.	Под лавиной в Туве нашли тело последнего пропавшего подростка.	1
"ВТБ останется миноритарием ""Tele2 Россия""."	Рост российского ВВП в мае вновь замедлился.	-1
Во Владикавказе задержан возможный убийца актера В.Титова.	Во Владикавказе задержан подозреваемый в убийстве актера Титова.	1
Кто не за Майдан, тот подозрительный	СК РФ предъявил обвинения по делу о взрыве пиротехники в Орле	-1
Похитители скота убили не менее 45 человек на северо-западе Кении	Похитители скота убили в Кении 45 человек	1
Самолет с бывшим топ-менеджером Microsoft рухнул на дом в США.	Управляемый бывшим топ-менеджером Microsoft самолет упал на жилой дом.	-1
Мэрилин Мэнсон передумал выступать в России.	Мэрилин Мэнсон отменил тур по России.	1
Премьер о ситуации с В.Баумгертнером: Не нужно было гнать волну.	Медведев прорекламировал Yotaphone в прямом эфире.	-1
Путеводитель по британским выборам	Британские либерал-демократы не ожидают положительного исхода выборов	-1
В Домодедово построят российский аналог Кембриджа.	В Домодедово создадут аналог Кембриджа.	1
На выборах в Армении с большим отрывом побеждает действующий президент.	Действующий президент лидирует на выборах в Армении.	1
"Суд арестовал фотографа, участвовавшего в акции на ""Приразломной""."	Суд в Мурманске перекрасят из-за активистов Greenpeace.	-1
Расходы на развитие МФЦ в Новосибирской области будут сокращены.	В России запустят государственную туристическую лотерею.	-1
Крупный НПЗ в Венесуэле загорелся после попадания молнии.	Удар молнии вызвал пожар на НПЗ в Венесуэле.	1
"ГСЧС Украины: пожар в ""Чернобыльской пуще"" не угрожает ""Укрытию"" ЧАЭС"	Россия предложила Украине помощь в борьбе с пожаром около ЧАЭС	-1
Начальник московского уголовного розыска подал в отставку.	Начальник МУРа подал в отставку.	1
В горах Пакистана пропала группа российских туристов.	В горах Пакистана пропали российские туристы.	1
После опрокидывания автобуса в Тюменской области ранены 14 человек	В Тюменской области опрокинулся автобус, пострадали 14 человек	1
При сходе лавины на Эвересте погибли 65 альпинистов	На Эвересте от схода лавины погибли 65 альпинистов	1
Пушков: саммит ЕС-Украина станет саммитом требований к Киеву	Пушков: Саммит показал, что Киев живет иллюзиями о Евросоюзе	-1
Площадь лесных пожаров в Забайкалье удвоилась за сутки	Площадь лесных пожаров в Забайкалье увеличилась вдвое	1
В Австралии арестовали лидера хакерской группировки LulzSec.	В Австралии арестовали лидера хакерской группы LulzSec.	1
"В редакцию ""МК"" бросили дымовую шашку."	В редакцию «МК» кинули дымовую шашку.	1
Байден: США поставят Израилю новые истребители F-35 в следующем году	США поставят Израилю истребители пятого поколения F-35	1
Калининградские байкеры почтили память советских воинов в Польше	Калининградские байкеры посетили мемориал советских воинов в Польше	1
«Рубин» вышел в групповой этап Лиги Европы, где встретится с обладателем Кубка Англии.	«Кубань» впервые вышла в групповой этап Лиги Европы.	-1
Актриса Кира Найтли вышла замуж.	Кира Найтли вышла замуж.	1
В своем новогоднем обращении А.Ткачев пообещал продолжить повышение зарплат и строительство дорог на Кубани в 2014г.	Путин записал второе новогоднее обращение.	-1
Порошенко заявил о желании провести референдум о присоединении к НАТО	Порошенко анонсировал всенародный референдум о присоединении к НАТО	1
Скончалась балерина Майя Плисецкая	Умерла Майя Плисецкая	1
Петербургское «Яблоко» изберет председателя в мае из-за ошибки при подсчете протоколов	Число жертв землетрясения в Непале превысило 5 тысяч человек	-1
"В Тунисе убит лидер ""Народного фронта""."	В Тунисе начали громить офисы правящей партии.	-1
Буксир с 12 российскими моряками задержан за долги в китайском порту	В китайском порту из-за долгов застрял буксир с российскими моряками	1
Местные власти: украинские силовики вновь обстреливают село Саханка	ДНР: Украинские силовики обстреляли колонию	-1
ВР подала в суд на правительство США.	BP подала в суд на правительство США.	1
Двое пропавших в Непале российских альпинистов вышли на связь	Более 40 россиян до сих пор не вышли на связь в Непале	-1
"На ""Почту России"" завели 13 дел за завалы корреспонденции."	Заместителя мэра Каспийска задержали по делу об убийстве следователя.	-1
"Закон о ""резиновых квартирах"" принят депутатами в первом чтении."	Госдума приняла в первом чтении закон о «резиновых квартирах».	1
КНДР на Параде Победы в Москве будет представлять глава парламента	Президент Вьетнама подтвердил участие в Параде Победы в Москве	-1
"Экономический ущерб от ""арабской весны"" составит $225 млрд."	"Оценку убытков от ""арабской весны"" повысили до 225 миллиардов долларов."	1
К концу 2013 года российская армия перейдет на носки.	"Александра Сидякина вывели с ""Фронта""."	-1
В Перми туристический поток увеличат на 10% к 2016 году.	Американские военные разошлись в оценке задач для палубного беспилотника.	-1
Взрыв у шиитской мечети в Багдаде унес жизни 33 человек.	В результате взрывов в багдадской мечети погибли 33 человека.	1
"В Новосибирске у оппозиционера прошли обыски по ""болотному делу""."	В Орле прошли обыски по «болотному делу».	-1
"""Билайн"" отказался от услуг ""Связного""."	«Вымпелком» отказался от услуг «Связного».	-1
Ушел из жизни бывший министр финансов Александр Лившиц.	Умер бывший министр финансов Александр Лившиц.	1
Кубанская промышленность может получить 2,5 млрд руб. на обновление.	Просто не до войны - Мария Портнягина выясняла, что происходит с экономикой юго-востока Украины.	-1
Девять самолетов ВВС разгонят облака над Москвой в День Победы	В Москве ограничат движение в связи с Днем Победы	-1
Россия облегчила условия погашения кредита для Кипра.	Россия смягчила условия кредита Кипру.	1
Росэнергоатом отказался от требований к Балтзаводу на 13,5 млрд руб.	Резню в техасском колледже устроил студент.	-1
Премьер Украины заявил об угрозах в адрес своей семьи.	Премьер-министр Украины заявил об угрозах в адрес его семьи.	1
По факту ДТП под Псковом возбуждено уголовное дело.	Евросоюз призвал США дождаться доклада ООН по Сирии.	-1
День Победы в Москве обещает выдаться облачным	Облака над Москвой в День Победы разгонят девять самолетов	-1
Путин: власти Москвы решат вопрос мемориала на месте убийства Немцова	Власти Москвы подтвердили право городских служб на очистку мемориала Немцову	-1
Столичный гаишник отказался от взятки в 45 млн рублей.	Сотрудник ГИБДД отказался от взятки в размере 45 миллионов рублей.	1
Суд Петербурга оставил на потом дело о гибели подростка в полиции.	Лондонский Гайд-парк - это не место для митингов, а прежде всего парк.	-1
К 130-летию композитора Александрова в Москве откроют памятник.	С обвинением - на выход.	-1
Суд в США назвал незаконным сбор телефонных данных АНБ	Суд в США признал незаконной программу АНБ по сбору телефонных метаданных	1
С пострадавших от паводка на Дальнем Востоке потребовали выплат по кредитам.	"""Наличность трудно считать, а еще труднее контролировать"" - Как менялось отношение граждан и банков к наличным."	-1
Вспышка сибирской язвы на Ставрополье: объявлен режим ЧС.	На Ставрополье ввели режим ЧС из-за сибирской язвы.	1
Шойгу отвезет в Латинскую Америку контракты на 1,7 миллиарда долларов.	Сергей Шойгу завоевывает Латинскую Америку.	-1
Злоумышленники убили полицейского в Каире, еще одного ранили.	Один человек убит и трое ранены при стрельбе в Лос-Анджелесе	-1
Число погибших в результате землетрясения в Непале достигло 3218	Число жертв землетрясения в Непале превысило 3 тыс. человек	1
За гибель людей при пожаре в Покровской больнице ответят врачи.	Рекордсменами по числу жалоб пользователей стали «ВКонтакте» и портал правительства.	-1
СМИ сообщили о санкциях США в отношении Тягнибока.	"""Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?"""	-1
СМИ: соратника Януковича застрелили в Киеве	Экс-депутат Верховной рады от партии Януковича застрелен на окраине Киева	1
Власти Сирии: Премьер-министр не пострадал в результате покушения.	В Дамаске совершено покушение на премьер-министра Сирии.	-1
«Рубин» выбыл из Кубка России.	«Рубин» выбыл из Кубка России по футболу.	1
Кадыров заявил о готовности уйти со своего поста	Кадыров заявил о своем праве применять оружие против «нарушителей закона»	-1
Сергей Приходько назначен вице-премьером.	Сергей Приходько вызван к аппарату.	-1
Столица Непала частично разрушена в результате мощного землетрясения	Число погибших в результате землетрясения в Непале превысило 400 человек	-1
В театре Акимова на Невском проспекте произошел пожар.	"""Нам еще долго предстоит привыкать к этим площадкам""."	-1
"Ученые: собаки ""приручили"" человека через его глаза"	Ученые объяснили дружбу собаки и человека	-1
Агент: РФС вновь задерживает зарплату Фабио Капелло	Глава РФС назвал обсуждение темы зарплаты Капелло «несвоевременным»	-1
Правительство Новосибирской области приобретет акции «Биотехнопарка».	К Новому году в столице откроется еще две станции метро.	-1
СК: четвертого подозреваемого задержали по делу об убийствах бродяг	В Москве задержан четвертый фигурант дела об убийствах бомжей	1
Аэропорт Домодедово назвал своего настоящего владельца.	Аэропорт «Домодедово» раскрыл конечных собственников.	1
СК выяснит, был ли подкуп свидетеля по делу Ю.Буданова.	СК проверит информацию о подкупе свидетеля по делу об убийстве Буданова.	1
Николаевск-на-Амуре ждет паводок, сравнимый с наводнением 2013 года	Против директора ИНИОН возбудили уголовное дело из-за пожара в библиотеке	-1
Умер поэт и переводчик Григорий Дашевский.	Умер поэт Григорий Дашевский.	1
Украинская певица Руслана пригрозила устроить самосожжение на Майдане.	Певица Руслана пригрозила сжечь себя на Майдане.	1
"Идеологом ""Единой России"" вместо А.Исаева стал С.Железняк."	На посту идеолога «Единой России» Исаева сменил Железняк.	1
Куба закупит у России самолеты на 650 млн долларов.	"""Ильюшин Финанс"" пересядет на Bombardier."	-1
"""Нормандская четверка"" обсудила поставки российского газа на Украину"	"""Нормандская четверка"" обсудила Минские соглашения"	-1
Около 1 млрд руб. субсидий получат производители молока на Кубани до конца года.	Вкладчики надеются друг на друга.	-1
Власти Латвии запретили называть деревню в честь В.Путина.	В Латвии запретили называть деревню в честь Путина.	1
МАКС-2013: подъем боевой авиации, VIP-вертолеты и гигантский Airbus.	В подмосковном Жуковском открылся МАКС-2013.	-1
"Ъ: президент ""Транснефти"" Токарев будет возглавлять компанию еще 5 лет"	Николай Токарев останется главой «Транснефти» еще пять лет	1
После выборов СКР вернулся к двум старым делам против А.Навального.	За Алексея Навального постояли на Болотной площади.	-1
Пожар в общежитии в Москве мог произойти из-за короткого замыкания	Число пострадавших при пожаре в общежитии в Москве возросло до 40	-1
Последователи иудаизма празднуют Лаг ба-омер	Последователи иудаизма отметят сегодня Лаг ба-омер	1
Пожар в офисном здании в центре Москвы локализован	Пожар в офисном здании в центре Москвы удалось локализовать	1
Власти Чили объявили новую эвакуацию населения из-за вулкана Кальбуко	Из-за вулкана Кальбуко в Чили объявили новую эвакуацию населения	1
Украина объявила о согласии России на пересмотр газового контракта.	Украина заявила о согласии России на пересмотр газового контракта.	1
Нигерийский суд оправдал российских моряков по делу о контрабанде.	Огонь погас, победа осталась.	-1
ЕС продлил санкции против Сирии, но разрешил поставки оружия повстанцам.	Страны ЕС сняли эмбарго на поставку оружия сирийским повстанцам.	-1
Поставщика МВД заподозрили в неуплате таможенных взносов.	"""Защиту"" заподозрили в неуплате таможенных взносов."	-1
Американка перед смертельным ДТП написала в Twitter о пьяном состоянии	Число выпускных экзаменов для девятиклассников удвоится	-1
На петербургские вокзалы прибыли кинологи.	Самолет МЧС доставил в Москву раненых из Волгограда.	-1
Два российских дипломата, находившихся в Непале, не выходят на связь	Локализован район пропажи российских дипломатов в Непале	-1
"Суд приговорил ""Пашу Цветомузыку"" к 9 годам строгого режима"	Суд приговорил Пашу Цветомузыку к девяти годам строгого режима	1
Девушки, танцевавшие на фоне мемориала в Новороссийске, арестованы	Танцевавших у новороссийского мемориала девушек арестовали на несколько суток	1
Жилье в Казани к осени подорожает на 5-10% - эксперты.	Триста игр для Amiga нашли нового владельца.	-1
Татарстанцы пришли на прием к президенту РТ с вопросами о детских садах.	«Вопрос: где наши деньги?» - Владимир Путин выступил на Петербургском международном экономическом форуме.	-1
Здание РАН на Воробьевых горах оказалось ничьим.	"РАН оказалась без ""Мозгов""."	-1
Колумбия: Российские ВВС вторглись в воздушное пространство страны.	Колумбия обвинила Россию в нарушении воздушного пространства.	1
В США во время учений погибли два сотрудника ФБР.	Два агента ФБР погибли на учениях.	1
"Пожар в новгородском интернате ""Оксочи""."	При пожаре в новгородском интернате погибли семь человек.	-1
Свадьба пела и стреляла: очередной случай произошел в Москве.	В Москве выявили очередную «стреляющую свадьбу».	1
В Канаде двое заключенных сбежали из тюрьмы на вертолете.	В Канаде арестован второй сбежавший на вертолете заключенный.	-1
"Тимошенко: экономическая политика Киева - ""шок без терапии"""	Тимошенко назвала политику Киева шоком без терапии	1
В Дагестане отменили четверть всех работ ЕГЭ по биологии.	В Дагестане отменили итоги четверти работ ЕГЭ по биологии.	1
В озере Чебаркуль не нашли обломков метеорита.	Челябинская область пострадала от метеорита.	-1
Аргентина объявила трехдневный траур по жертвам наводнения.	Жертвами наводнения в Аргентине стали 54 человека.	-1
Жертвами наводнения в Аргентине стали более 50 человек.	Жертвами наводнения в Аргентине стали 54 человека.	1
В Петербурге попался грабитель, позарившийся на портфель с мощами.	В Петербурге у священника отобрали портфель с деньгами и мощами.	-1
"Суд приговорил ""Пашу Цветомузыку"" к 9 годам строгого режима"	Суд приговорил Пашу Цветомузыку к девяти годам строгого режима	1
Установлены личности жертв массового убийства в Башкирии	В Башкирии начали поиски подозреваемых в массовом убийстве	-1
Энрико Летта сформировал итальянское правительство.	Энрико Летта сформировал правительство Италии.	1
Память погибших в Одессе почтили у посольства Украины в Москве	В Одессе почтили память погибших в Доме профсоюзов	-1
Неизвестные сожгли машины и магазин в мексиканском Халиско	Неизвестные сожгли автомобили и магазин в мексиканском городе-курорте	1
В Ростовской области раскрыта банда, убивавшая полицейских.	МВД назвало мотивы убийц полицейских из Ростовской области.	-1
"Лишенный полномочий мэр Торонто грозит соперникам ""открытой войной""."	Уличенного в пьянстве мэра Торонто лишили оставшихся полномочий.	-1
"УДАР заявил о взломе страниц В.Кличко в Facebook и ""ВКонтакте""."	Что требовали от авиакомпаний после катастроф.	-1
Центробанк cнизил ключевую ставку до 12,5 процента	Центробанк снизил ключевую ставку на 1,5 процента	-1
Путин: российская экономика относительно легко преодолела санкции	Путин подсчитал убытки России от экономических санкций	-1
В Иркутской области 350 заключенных колонии нанесли себе порезы.	350 заключенных колонии для бывших силовиков нанесли себе порезы.	-1
Вейр: пока Москва готовится к 9 мая, НАТО собирает антироссийские силы	Ислам Каримов посетит Москву 9 мая	-1
Началась прямая линия с Путиным	Путину перед началом прямой линии поступило почти 2,5 млн вопросов	-1
Первый тур президентских выборов пройдет в Хорватии	В Хорватии состоятся выборы президента страны	1
"""Синие ведерки"" заподозрили Павла Дурова в наезде на полицейского."	«Синие ведерки» заподозрили основателя «ВКонтакте» в наезде на гаишника.	1
Аграрные вузы объединят для более эффективной работы.	Немецкая компания объявила о приеме на работу сотен аутистов.	-1
МОК избрал нового президента за полгода до Олимпиады в Сочи.	Во вторник члены МОК выберут нового президента.	-1
Астропрогноз на 17 декабря: Овны придут к желаемому.	Чиновника из Ленобласти заподозрили в заказе нападения на своего водителя.	-1
МЧС РФ: Украина не нуждается в помощи России в зоне ЧАЭС	Россия предложила Украине помощь в борьбе с пожаром около ЧАЭС	-1
В Ливии задержаны 4 подозреваемых в распространении христианства.	Власти Ливии задержали подозреваемых в распространении христианства.	1
Минобороны объявило мораторий на продажу своего имущества.	Минобороны ввело мораторий на продажу своего имущества.	1
ИГ взяло на себя ответственность за взрыв у консульства США в Ираке	Сотрудники консульства США не пострадали при взрыве в Ираке	-1
Более 20 мирных жителей погибли при авиаударах коалиции в Йемене	При авиаударах коалиции в Йемене погиб 21 мирный житель	1
Вода из прорванного трубопровода затопила Дмитровское шоссе.	Дмитровское шоссе в Москве залило водой из прорванной трубы.	1
Пятеро подростков задержаны в Австралии за подготовку теракта	В Австралии по подозрению в терроризме задержаны пять подростков	1
Движение машин в районе пожара на складе на севере Москвы затруднено	Пожар на складе на севере Москвы ликвидировали	-1
В России будут признавать дипломы 201 зарубежного вуза.	Россия признала дипломы 201 иностранного вуза.	1
Бывшего президента Египта Мурси приговорили к 20 годам тюрьмы	США обеспокоены приговором бывшему президенту Египта Мурси	-1
Участником олимпийской эстафеты огня Игр в Сочи станет дельфин.	Дельфина задействуют в эстафете олимпийского огня Сочи-2014.	1
"Националист Демушкин получил 8 суток после ""вечеринки в честь Гитлера"""	Участнику вечеринки в честь дня рождения Гитлера дали восемь суток	1
Пойман вербовщик задержанного в Москве отряда экстремистов.	В Москве задержали экстремистов со взрывчаткой.	-1
Москва призвала прислушаться к матушке Агнесс в сирийском вопросе.	Лавров и Керри обсудили ситуацию в Сирии по телефону.	-1
В Казани приставы отключили коммуникации в незаконных постройках.	"Арена ""Мегаспорт"" закрылась на подготовку к ЧМ-2016 по хоккею."	-1
Венецианский кинофестиваль открылся фильмом о возвращении на Землю.	"Венецианский кинофестиваль открылся ""реалистичной фантастикой""."	-1
Барак Обама: Узников Гуантанамо транспортируют в Йемен.	Обама разрешил перевозить узников Гуантанамо в Йемен.	1
Хорватия официально вступила в Евросоюз.	Хорватия вступила в Евросоюз.	1
Генерала Бориса Фадеева оставят под арестом до 17 апреля.	Чем известен генерал Борис Фадеев.	-1
Intel назвал имя нового гендиректора.	В Intel назвали имя нового гендиректора.	1
Не менее семи полицейских пострадали при беспорядках в Балтиморе	Семь полицейских пострадали при беспорядках в американском Балтиморе	1
Смольный: Отмена дорожных конкурсов не связана с Навальным.	Смольный отменил конкурсы на ремонт дорог после жалобы Навального.	-1
Закон о досмотрах на вокзалах принят в первом чтении.	К борьбе с наркотиками подошли законотворчески.	-1
Новое ЧП в московском метро: машиниста убило током.	Машинист московского метро погиб от удара током.	1
Лайнер Москва - Манчестер сел в Копенгагене из-за фанатов ЦСКА.	Фанатов ЦСКА сняли с рейса в Манчестер.	-1
"В США скончался ""гроссмейстер"" фантастов Джек Вэнс."	В США умер писатель-фантаст Джек Вэнс.	1
Samsung стала самым прибыльным производителем телефонов, опередив Apple.	Samsung отобрала у Apple звание самого прибыльного производителя телефонов.	1
Серена Уильямс обыграла Марию Шарапову в финале турнира в Майами.	В финале турнира в Майами она обыграла Марию Шарапову.	-1
Пятеро подростков задержаны в Австралии за подготовку теракта	В Австралии по подозрению в терроризме задержаны пять подростков	1
Испания выдаст России получившего убежище в Великобритании банкира.	Британское убежище не приняли в Испании.	-1
В перестрелке с бандитами в Москве убиты двое полицейских.	После перестрелки с полицией в Москве задержали «вора в законе».	-1
Глава Всеволожского муниципального района Ленобласти подал заявление об увольнении.	Осужденный глава Всеволожского района Ленобласти подал в отставку.	-1
Медведев видит стабилизацию ситуации в экономике России	Медведев: новая редакция ОНДП учитывает вызовы экономике России	-1
Сбежавшего из России банкира поймали в австрийском лесу.	Сбежавшего от российской полиции банкира поймали в австрийском лесу.	1
Эксперты: К 2017г.	Движение на «серой» ветке метро в Москве восстановили.	-1
Полиция Петербурга провела второй за два дня рейд на Сенном рынке.	Навальный обжаловал в ЕСПЧ штраф за «жуликов и воров».	-1
С территории Ливана по Израилю выпущена ракета.	Ливан нанес ракетный удар по Израилю.	1
Кандидат в мэры от ЛДПР: Будем работать в команде с В.Путиным.	Болгарский парламент решил воздержаться от работы на время протестов.	-1
Закрытый из-за пожара аэропорт Рима возобновляет работу	Причиной пожара в аэропорту Рима стало короткое замыкание	-1
Чиновники и депутаты должны избавиться от зарубежных счетов к сентябрю.	Фанаты «Зенита» вступились за Эрмитаж.	-1
Владимир Путин прибыл в Ереван	Владимир Путин посетит Санкт-Петербург	-1
Россия выступает за создание Банка развития БРИКС.	Страны БРИКС выправили новые документы.	-1
Президент Венесуэлы подарил дом женщине, кинувшей в него плодом манго	Президент Венесуэлы подарил кинувшей в него манго женщине дом	1
Ислам Каримов 8 мая прилетит в Москву на празднование Дня Победы	Пушков констатировал провал бойкота празднования Дня Победы в Москве	-1
Награда за клик: российский химик претендует на Нобелевскую премию.	Нобелевскую премию по химии присудили за моделирование химических систем.	-1
СМИ сообщили о проигрыше «Нафтогаза» в споре на четыре миллиарда долларов.	«Для отстранения от должности обыски и допросы точно не нужны».	-1
